english|hindi_concept|type|japanese|hirangana|pronunciation|example_eng|example_jap
lineage_1|anvaya,gowra,kula,SAKa,vaMSa,vaMSaparaMparA|noun|系統|けいとう|keitou_1|trace paternal lineage|父方の系統をたどる
linear_1|reKAgawa,reKAkAra,reKIya,reKIya|adjective|線状|せんじょう|keijou_1|linear carbon|線状炭素
linen_1|kapade+kI+banI+Garelu+cAxareM,linena|noun|リネン|りねん|rinen_1|table linen|食卓用リネン
lineup_1||noun|顔ぶれ|かおぶれ|kaobure_1|announce one's Cabinet lineup|内閣の顔ぶれを発表する
linger_1|Gasitawe+raha,TaharA+raha,XIme+se+kara|verb|長引く|ながびく|nagabiku_1|linger in a coma|昏睡状態が長引く
linger_2|Gasitawe+raha,TaharA+raha,XIme+se+kara|verb|留まる|とどまる|todomaru_1|linger at the table after lunch|昼食後も食卓に留まる
lingerie_1||noun|下着|したぎ|shitagi_1|black lace lingerie|黒いレースの下着
lingo_1|koI+vixeSI+BARA,vyavasAya+viSeRa+se+sambanXiwa+Sabxa|noun|専門用語|せんもんようご|senmonyougo_1|computer lingo|コンピューターの専門用語
linguist_1|BARAvewwA,BARAvix|noun|言語学者|げんごがくしゃ|gengogakusha_1|comparative linguist|比較言語学者
liniment_1||noun|塗布薬|とふやく|tofuyaku_1|effective liniment|効果的な塗布薬
link_1|jodZa,kadI,kadI+joda,kadZI|noun|リンク|りんく|rinku_1|fixed link|固定リンク
linkage_1|jodane+kA+sAXana,sambanXa|noun|繋がり|つながり|tsunagari_1|strengthen linkages between education and employment|教育と雇用の繋がりを強める
linoleum_1||noun|リノリウム|りのりうむ|rinorimu_1|floor of linoleum|リノリウムの床
linseed_1|alasI,wIsI|noun|アマニ|あまに|amani_1|linseed oil|アマニ油
lint_1||noun|糸くず|いとくず|itokuzu_1|a bit of lint|少しの糸くず
lion_1|babara,kesarI,mqgarAja,mqgeMxra,nAhara,Sera,siMha,siMha,vanarAja|noun|ライオン|らいおん|raion_1|huge lion|巨大なライオン
lioness_1|siMhinI|noun|雌ライオン|めすらいおん|mesuraion_1|aggressive lioness|攻撃的な雌ライオン
lip_1|aBaxra+vyavahAra,aXara,cUma,hoMTa,laba,oMTa,oMTahoMTa,oTa,raxaCanxa|noun|唇|くちびる|kuchibiru_1|bite the inside of one's lip|唇の内側を噛む
lips_1||noun|唇|くちびる|kuchibiru_1|apply lipstick on lips|唇に口紅を塗る
lipstick_1|lAlI,surKZI|noun|口紅|くちべに|kuchibeni_1|check one's lipstick in a mirror|鏡で口紅をチェックする
liquefy_1|warala+banA|verb|液化する|えきか|ekika_1|liquefy at low heat|低温で液化する
liqueur_1||noun|リキュール|りきゅーる|rikyu-ru_1|coffee liqueur|コーヒー・リキュール
liquid_1|nakaxa,spaRta+Ora+svacCa,xrava|noun|液体|えきたい|ekitai_1|simmering liquid|沸騰している液体
liquid_2|nakaxa,spaRta+Ora+svacCa,xrava|noun|液|えき|eki_1|shampoo liquid|シャンプー液
liquor_1|maxirA,maXu,maxya,SarAba,SarAva,surA,vAruNI,xArU|noun|酒|さけ|sake_1|liquor and cigarette|酒と煙草
lisp_1|wuwalA|noun|舌足らず|したたらず|sitatarazu_1|speak with a lisp|舌足らずの話し方をする
list_1|lista,medZa,PZarxa,PZehariswa,PZihariSwa,sUcI,sUcIbaxXa+kara,wAlikA|noun|リスト|りすと|risuto_1|list of attendees|参加者リスト
listen_1|suna|verb|聞く|きく|kiku_1|listen to someone in silence|黙って人の話を聞く
listen_2|suna|verb|聴く|きく|kiku_2|listen to some heartwarming music|心温まる音楽を聴く
listen_3|suna|verb|耳を傾ける|みみをかたむける|mimiwokatamukeru_1|listen to one's customers|顧客に耳を傾ける
litany_1||noun|長たらしい話|ながたらしいはなし|nagatarashiihanashi_1|the patient recited a litany of complaints|患者は不満の長たらしい話をした
literacy_1|sAkRarawA|noun|識字能力|しきじのうりょく|shikijinouryoku_1|raise the literacy levels of adult women|成人女子の識字能力
literal_1|harPZaba-harPZa,SAbxa,SabxAnusAra,SAbxika|adjective|文字通り|もじどおり|mojidoori_1|in a literal sense|文字通りの意味で
literary_1|axabI,sAhiwyika|adjective|文学|ぶんがく|bungaku_1|literary education|文学教育
literate_1|sAkRara|adjective|読み書きのできる|よみかきのできる|yomikakinodekiru_1|literate adult|読み書きのできる成人
lamp_1|bawwI,cirAga,cirAgZa,laMpa,lEMpa,praxIpa,SamA,xIpaka,xIyA,xiyA,xiyAbawwI|noun|ランプ|らんぷ|ranpu_1|indicator lamp|表示ランプ
lamplight_1||noun|ランプの光|らんぷのひかり|ranpunohikari_1|shine in the lamplight|ランプの光で輝く
lampoon_1||verb|激しく風刺する|はげしくふうしする|hageshikufuushisuru_1|The magazine lampooned the senate.|その雑誌はその上院議員を激しく風刺した。
lance_1|BAlA,ballama,baraCA,baraCI,nejZA|noun|槍|やり|yari_1|thrust a lance into someone's side|人のわき腹に槍を突き刺す
land_1|BU,BUmi,jZamIna,kRiwi,kUxa+ke+yA+gira+ke+jamIna+para+pahuzca,saPalawA+prApwa+kara,sWala,sWalI,vanaKaMda,Wala,WalIya,xeSa|noun|土地|とち|tochi_1|exploit land|土地を開拓する
landing_1|lEMdiMga|noun|着陸|ちゃくりく|chakuriku_1|emergency landing|緊急着陸
landlord_1|jamInaxAra,jZamIMxAra,makAna+mAlika,makAnaxAra,sAmaMwa|noun|大家|おおや|ooya_1|Our landlord does not allow pets.|私達の大家はペットを許可していません。
landmark_1|cihna,niSAna,sImAcihna,yugAMwakArI+GatanA|noun|目印|めじるし|mejirushi_1|point out a landmark|目印を指し示す
landowner_1||noun|土地所有者|とちしょゆうしゃ|tochishoyuusya_1|private landowner|民間の土地所有者
landowner_2||noun|地主|じぬし|jinushi_1|feudalistic landowner|封建地主
landscape_1|BUparixqSya,BUxqSya+kA+nirmANa+kara,parixqSya,prAkqwika+xqSya|noun|景観|けいかん|keikan_1|urban landscape|都市景観
landslide_1|mahAvijaya|noun|地滑り|じすべり|jisuberi_1|volcano landslide|火山地滑り
lane_1|galI,kUcA|noun|車線|しゃせん|shasen_1|bicycle lane|自転車用車線
language_1|BARA,bolane+kI+SElI,jZabAna|noun|言語|げんご|gengo_1|speak several languages|いくつかの言語を話す
languid_1|avasanna,klAMwa,kRINa,mlAna,niDAla,SiWila,SlaWa,suswa|adjective|無気力|むきりょく|mukiryoku_1|languid pose|無気力な姿勢
lanky_1|lagalaga,lakZalakZa,sIMkiyA|adjective|ひょろっとした|ひょろっとした|hyorottoshita_1|lanky youth|ひょろっとした若者
lantern_1|lAlatena|noun|提灯|ちょうちん|chouchin_1|colorful lantern|カラフルな提灯
lanthanum_1||noun|ランタン|らんたん|rantan_1|oxidized lanthanum|酸化ランタン
lap_1|AMcala,aMka,capadZa-capadZa,cAta,goxa,goxI,yAwrA+kA+eka+hissA|noun|膝|ひざ|hiza_1|get on someone's lap|人の膝の上に乗る
lapel_1|Kule+gale+ke+kota+kAlara|noun|襟|えり|eri_1|clutch someone's lapel|人の襟をつかむ
lapidary_1||adjective|宝石細工|ほうせきざいく|housekizaiku_1|lapidary art|宝石細工術
lappet_1||noun|ラペット|らぺっと|rapetto_1|lappet weaving|ラペット織り
lapse_1|avanawa+ho+jA,awipAwa,BUla,BUlacUka,cUka,cyuwawi,raxxa+ho+jA,sKalana|verb|陥る|おちいる|ochiiru_1|lapse into a coma|昏睡状態に陥る
laptop_1||noun|ノートパソコン|のーとぱそこん|nooto-pasokon_1|type on a laptop|ノートパソコンでタイプする
larceny_1||noun|窃盗罪|せっとうざい|settouzai_1|petty larceny|軽窃盗罪
larch_1||noun|唐松|からまつ|karamatsu_1|larch plantation|唐松人工林
lard_1|suara+kI+carbI|noun|ラード|らーど|ra-do_1|render lard|ラードを溶かす
large_1|badZA,bqhaw,jaMgI,kalAz,pqWu,vipula,viSAla,vqhaw,xIrGa|adjective|大きい|おおきい|ookii_1|large shirts|大きいシャツ
large_2|badZA,bqhaw,jaMgI,kalAz,pqWu,vipula,viSAla,vqhaw,xIrGa|adjective|大型|おおがた|oogata_1|large dog|大型犬
large_3|badZA,bqhaw,jaMgI,kalAz,pqWu,vipula,viSAla,vqhaw,xIrGa|adjective|広い|ひろい|hiroi_1|large area|広い地域
largesse_1||noun|気前の良さ|きまえのよさ|kimaenoyosa_1|proud of one's largesse|気前の良さを誇りに思う
lariat_1||noun|ラリアート|らりあーと|raria-to_1|lariat configuration|ラリアート構造
lark_1|eka+pakRI,krIdA,lavA|noun|ヒバリ|ひばり|hibari_1|see a lark flying|ヒバリが飛んでいるのを見る
lark_2|eka+pakRI,krIdA,lavA|noun|いたずら|いたずら|itazura_1|made on a lark|いたずらで作られた
larkspur_1||noun|ヒエンソウ|ひえんそう|hiensou_1|bouquet larkspur|オオバナヒエンソウ
larva_1|diMBa,dimba,diMBaka,dimmaka|noun|幼虫|ようちゅう|youchuu_1|developing larva|発育中の幼虫
larvae_1||noun|幼虫|ようちゅう|youchuu_1|infective larvae|感染幼虫
larval_1||adjective|幼虫|ようちゅう|youchuu_1|larval state|幼虫段階
laryngeal_1||adjective|喉頭|こうとう|koutou_1|laryngeal disease|喉頭疾患
la_1||noun|ロサンゼルス|ろさんぜるす|rosanzerusu_1|live in LA|ロサンゼルスに住む
lab_1||noun|研究所|けんきゅうしょ|kenkyuujo_1|development lab|開発研究所
label_1|cippI,gaDana,lebala|noun|ラベル|らべる|raberu_1|safety label|安全ラベル
labile_1|asWAyI|adjective|不安定|ふあんてい|fuantei_1|labile factor|不安定要素
labor_1||noun|労働|ろうどう|roudou_1|conscripted labor|強制労働
laboratory_1|leboretarI,prayogaSAlA|noun|実験室|じっけんしつ|jikkenshitsu_1|underground laboratory|地下実験室
laborious_1|mehanawI|adjective|骨の折れる|ほねのおれる|honenooreru_1|laborious translation|骨の折れる翻訳
laborious_2|mehanawI|adjective|面倒|めんどう|mendou_1|laborious process|面倒な工程
labour_1|kAmagAra,kArmika,kasAlA,mehanawa,pariSrama,Srama,Sramika,uxyoga|noun|労働|ろうどう|roudou_1|farming labour|農業労働
labyrinth_1|BUlaBUlEyAz,goraKaXaMXA|noun|迷宮|めいきゅう|meikyuu_1|walk into a labyrinth|迷宮に足を踏み入れる
lace_1|PIwA,PIwA+bAzXa,puta+xe,PZIwA|noun|レース|れーす|re-su_1|showy dress dripping with lace|レースで飾り立てた派手なドレス
lacerate_1||verb|引き裂く|ひきさく|hikisaku_1|lacerate the skin|皮膚を引き裂く
lack_1|aBAva,kamI,kamI+ho|noun|不足|ふそく|fusoku_1|lack of appropriate training|適切な訓練の不足
lack_2|aBAva,kamI,kamI+ho|verb|欠く|かく|kaku_1|lack a sense of humor|ユーモア感覚を欠く
lacquer_1|rogana|noun|ラッカー|らっかー|rakka-_1|mat lacquer|つや消しラッカー
lacrosse_1||noun|ラクロス|らくろす|rakurosu_1|play lacrosse|ラクロスをする
lacuna_1|kasara|noun|欠落|けつらく|ketsuraku_1|discover a lacuna|欠落を発見する
lacy_1||adjective|レースの|れーすの|re-suno_1|lacy white dress|レースの白いドレス
lad_1|CokarA,CorA,ladZakA,lOMdA,pogaMda|noun|若者|わかもの|wakamono_1|friendless lad|友達のいない若者
ladder_1|jZInA,nase,sIDI,sIDZI,sIDZI|noun|はしご|はしご|hashigo_1|berth ladder|寝台はしご
ladle_1|camacA,kalaCI,karaCI|noun|おたま|おたま|otama_1|iron ladle|鉄製おたま
lady_1|banno,BaxramahilA,KZAwUna,ledI,mahilA,vegama|noun|女性|じょせい|josei_1|lady in an evening gown|イブニングドレスを着た女性
ladylike_1||adjective|おしとやか|おしとやか|oshitoyaka_1|have a ladylike attitude|おしとやかな態度をとる
lag_1|ataka,bilamba,CUta,piCadZa,vilaMba,xera,xerI|verb|遅れる|おくれる|okureru_1|lag behind schedule|スケジュールに遅れる
lagging_1|parawa,parawa|adverb|遅れ|おくれ|okure_1|lagging current|遅れ電流
lagoon_1|lagOna|noun|ラグーン|らぐーん|ragu-n_1|municipal lagoon|都市ラグーン
lair_1|mAzxa|noun|穴|あな|ana_1|The hunter tracked the lion to its lair.|狩猟家はライオンを穴まで追跡しました。
laity_1||noun|信者達|しんじゃたち|shinjatachi_1|Catholic laity|カトリックの信者達
lake_1|JIla,PAzta,puRkara,puRkariNI,sarovara|noun|湖|みずうみ|mizuumi_1|hill overlooking a lake|湖を見下ろす丘
lakeside_1|JIla+kA+kinArA|adjective|湖畔|こはん|kohan_1|lakeside home|湖畔の家
lam_1||verb|殴る|なぐる|naguru_1|lam someone on the head|人の頭を殴る
lamb_1|memanA|noun|ラム|らむ|ramu_1|roasted lamb|炙ったラム
lambda_1||noun|ラムダ|らむだ|ramuda_1|lambda value|ラムダ値
lame_1|laMgadZA,lazgadZA,paMgU|adjective|くだらない|くだらない|kudaranai_1|give a lame excuse|くだらない質問をする
lament_1|bilaKa,bilapa,bisUra,kalapa,marsiyA,ro,Soka+prakata+kara|verb|嘆く|なげく|nageku_1|lament the senselessness of the war|戦争の無意味さを嘆く
lamentation_1|kraMxana,ruxana,vilApa|noun|悲嘆|ひたん|hitan_1|exclamation of lamentation|悲嘆の叫び声
laminate_1|bela|noun|ラミネート|らみねーと|ramine-to_1|laminate made of thin layers of wood|木の薄い層でできているラミネート
lonesome_1|akelA,asahAya|adjective|寂しい|さびしい|sabishii_1|I feel lonesome when my husband is away.|夫が離れている時には私は寂しい。
long_1|cira,cira,cira,cira,hadZaka,icCA+kara,laMbA,laMbA,laMbA,laMbA,lambA,lambe+samaya+waka,laMbI,laMbI,laMbI,laMbI,xIrGa,xIrGa,xIrGa,xIrGa,xIrGakAlIna,xIrGakAlIna,xIrGakAlIna,xIrGakAlIna|adjective|長い|ながい|nagai_1|long story|長いストーリー
longevity_1|SrAyurbala|noun|長寿|ちょうじゅ|chouju_1|exceptional longevity|例外的な長寿
longhand_1||noun|手書き|てがき|tegaki_1|write in longhand|手書きで書く
longish_1|laMbowarA|adjective|長め|ながめ|nagame_1|longish skirt|長めのスカート
longitude_1|xeSAMwara|noun|経度|けいど|keido_1|difference of latitude and longitude|緯度と経度の差
look_1|DUMDZa,najZara,nigAha,niraKa,Sakla,Xaja,xeKa,xiSA+kI+ora+ho|verb|見る|みる|miru_1|look at the screen|スクリーンを見る
lookout_1||noun|見張り|みはり|mihari_1|You two be the lookouts.|君たち二人は見張りだ。
lookup_1||noun|検索|けんさく|kensaku_1|lookup service|検索サービス
loom_1|aspaRta+CAyA+xIKa,samBAvanA+ho|noun|織機|しょっき|shokki_1|automatic loom|自動織機
loop_1|gAzsa,GumAvaxAra+vakwa,PaMxA,PanxA,PanxA+banA,PanxA+dAlakara+bAzXa|noun|ループ|るーぷ|ru-pu_1|pressure loop|圧力ループ
loophole_1|bacAva+kA+rAswA|noun|抜け穴|ぬけあな|nukeana_1|use a loophole of the law|法律の抜け穴を使う
loose_1|alagna,asaMgaTiwa,asaMhiwa,aSliRta,axqDZa,CuttA,DIlA,latapatA,SiWila|adjective|緩い|ゆるい|yurui_1|loose shoes|緩い靴
looseleaf_1||adjective|ルーズリーフ式|るーずりーふしき|ru-zuri-fu_1|loose-leaf book|ルーズリーフ式の本
loosen_1|DIla,DIlA+kara|verb|緩める|ゆるめる|yurumeru_1|loosen a screw|ねじを緩める
loosen_2|DIla,DIlA+kara|verb|解く|ほどく|hodoku_1|loosen a knot|結び目を解く
loot_1|lUta,lUta|noun|戦利品|せんりひん|senrihin_1|take the loot home|戦利品を家にもって帰る
lop_1|latakA|verb|切り取る|きりとる|kiritoru_1|lop the branches off a tree|枝を木から切り取る
lopsided_1||adjective|偏った|かたよった|katayotta_1|lopsided outcome|偏った結果
lopsided_2||adjective|一方的|いっぽうてき|ippouteki_1|lopsided battle|一方的な戦い
loquacity_1||noun|多弁|たべん|taben_1|I really fed up with his loquacity.|彼の多弁には本当にうんざりです。
lord_1|AkZA,aXipawi,BarwA,lArda,lAta,sAmanwa,svAmI,TAkura|noun|領主|りょうしゅ|ryoushu_1|lord of the manor|荘園領主
lore_1||noun|知識|ちしき|chishiki_1|repository of lore|知識の宝庫
lose_1|barabAxa+ho,gavAz,gazvA,gazvA,gazvA+xe,hAra,hAra+jA,icCA+na+rakanA,Ko,Ko,Ko+xe,mita+jA,pICe+ho+jA|verb|失う|うしなう|ushinau_1|lose a close family member|身近な家族を失う
lose_2|barabAxa+ho,gavAz,gazvA,gazvA,gazvA+xe,hAra,hAra+jA,icCA+na+rakanA,Ko,Ko,Ko+xe,mita+jA,pICe+ho+jA|verb|負ける|まける|makeru_1|lose a fight|けんかで負ける
loser_1||noun|敗者|はいしゃ|haisha_1|loser of the competition|競争の敗者
loss_1|capeta,cattI,CIja,CIjana,gadDA,GAtA,hAni,harjZa,kasara,kRawi,kRaya,KZamiyAjZA,nukZasAna,totA,XakkA|noun|損失|そんしつ|sonshitsu_1|loss of water due to evaporation|蒸発による水の損失
lost_1|gazvAyA+huA,guma,gZAyaba,hArA+huA,KoyA+huA,lAsta|adjective|紛失|ふんしつ|funshitsu_1|lost check|紛失小切手
lot_1|bahuwa+badI+saMKyA,baKZwa,Dera,ekamuSwa,GAna,kZismawa,laKanI,peSAnI,prArabXa,sWAna+viSeRa,wakZaxIra|adjective|たくさん|たくさん|takusan_1|There were a lot of people on the beach.|ビーチにはたくさんの人達がいた。
